dataset,layers,benchmark_auc,simulated_auc
mnist_7,"batchnorm,whitening,residual,layernorm",0.978,0.996
mnist_7,"batchnorm,whitening,residual,dense",0.978,0.996
mnist_7,"batchnorm,whitening,layernorm,dense",0.978,0.993
mnist_7,"batchnorm,attention,residual,layernorm",0.978,0.996
mnist_7,"batchnorm,attention,residual,dense",0.978,0.996
mnist_7,"batchnorm,attention,layernorm,dense",0.978,0.996
mnist_7,"batchnorm,residual,layernorm,dense",0.978,0.996
mnist_7,"dropout,whitening,attention,residual",0.978,0.996
mnist_7,"dropout,whitening,attention,layernorm",0.978,0.995
mnist_7,"dropout,whitening,attention,dense",0.978,0.994
mnist_7,"dropout,whitening,residual,layernorm",0.978,0.994
mnist_7,"dropout,whitening,residual,dense",0.978,0.993
mnist_7,"dropout,whitening,layernorm,dense",0.978,0.99
mnist_7,"dropout,attention,residual,layernorm",0.978,0.996
mnist_7,"dropout,attention,residual,dense",0.978,0.996
mnist_7,"dropout,attention,layernorm,dense",0.978,0.995
mnist_7,"dropout,residual,layernorm,dense",0.978,0.994
mnist_7,"whitening,attention,residual,layernorm",0.978,0.996
mnist_7,"whitening,attention,residual,dense",0.978,0.996
mnist_7,"whitening,attention,layernorm,dense",0.978,0.996
mnist_7,"whitening,residual,layernorm,dense",0.978,0.995
mnist_7,"attention,residual,layernorm,dense",0.978,0.996
mnist_7,"batchnorm,dropout,whitening,attention,residual",0.978,0.996
mnist_7,"batchnorm,dropout,whitening,attention,layernorm",0.978,0.996
mnist_7,"batchnorm,dropout,whitening,attention,dense",0.978,0.996
mnist_7,"batchnorm,dropout,whitening,residual,layernorm",0.978,0.996
mnist_7,"batchnorm,dropout,whitening,residual,dense",0.978,0.996
mnist_7,"batchnorm,dropout,whitening,layernorm,dense",0.978,0.995
mnist_7,"batchnorm,dropout,attention,residual,layernorm",0.978,0.996
mnist_7,"batchnorm,dropout,attention,residual,dense",0.978,0.996
mnist_7,"batchnorm,dropout,attention,layernorm,dense",0.978,0.996
mnist_7,"batchnorm,dropout,residual,layernorm,dense",0.978,0.996
mnist_7,"batchnorm,whitening,attention,residual,layernorm",0.978,0.996
mnist_7,"batchnorm,whitening,attention,residual,dense",0.978,0.996
mnist_7,"batchnorm,whitening,attention,layernorm,dense",0.978,0.996
mnist_7,"batchnorm,whitening,residual,layernorm,dense",0.978,0.996
mnist_7,"batchnorm,attention,residual,layernorm,dense",0.978,0.996
mnist_7,"dropout,whitening,attention,residual,layernorm",0.978,0.996
mnist_7,"dropout,whitening,attention,residual,dense",0.978,0.996
mnist_7,"dropout,whitening,attention,layernorm,dense",0.978,0.996
mnist_7,"dropout,whitening,residual,layernorm,dense",0.978,0.996
mnist_7,"dropout,attention,residual,layernorm,dense",0.978,0.996
mnist_7,"whitening,attention,residual,layernorm,dense",0.978,0.996
mnist_7,"batchnorm,dropout,whitening,attention,residual,layernorm",0.978,0.996
mnist_7,"batchnorm,dropout,whitening,attention,residual,dense",0.978,0.996
mnist_7,"batchnorm,dropout,whitening,attention,layernorm,dense",0.978,0.996
mnist_7,"batchnorm,dropout,whitening,residual,layernorm,dense",0.978,0.996
mnist_7,"batchnorm,dropout,attention,residual,layernorm,dense",0.978,0.996
mnist_7,"batchnorm,whitening,attention,residual,layernorm,dense",0.978,0.996
mnist_7,"dropout,whitening,attention,residual,layernorm,dense",0.978,0.996
mnist_7,"batchnorm,dropout,whitening,attention,residual,layernorm,dense",0.978,0.996
mnist_8,none,0.945,0.945
mnist_8,batchnorm,0.945,0.95
mnist_8,dropout,0.945,0.947
mnist_8,whitening,0.945,0.948
mnist_8,attention,0.945,0.953
mnist_8,residual,0.945,0.952
mnist_8,layernorm,0.945,0.949
mnist_8,dense,0.945,0.948
mnist_8,"batchnorm,dropout",0.945,0.952
mnist_8,"batchnorm,whitening",0.945,0.953
mnist_8,"batchnorm,attention",0.945,0.958
mnist_8,"batchnorm,residual",0.945,0.957
mnist_8,"batchnorm,layernorm",0.945,0.954
mnist_8,"batchnorm,dense",0.945,0.953
mnist_8,"dropout,whitening",0.945,0.95
mnist_8,"dropout,attention",0.945,0.955
mnist_8,"dropout,residual",0.945,0.954
mnist_8,"dropout,layernorm",0.945,0.951
mnist_8,"dropout,dense",0.945,0.95
mnist_8,"whitening,attention",0.945,0.956
mnist_8,"whitening,residual",0.945,0.955
mnist_8,"whitening,layernorm",0.945,0.952
mnist_8,"whitening,dense",0.945,0.951
mnist_8,"attention,residual",0.945,0.96
mnist_8,"attention,layernorm",0.945,0.957
mnist_8,"attention,dense",0.945,0.956
mnist_8,"residual,layernorm",0.945,0.956
mnist_8,"residual,dense",0.945,0.955
mnist_8,"layernorm,dense",0.945,0.952
mnist_8,"batchnorm,dropout,whitening",0.945,0.955
mnist_8,"batchnorm,dropout,attention",0.945,0.96
mnist_8,"batchnorm,dropout,residual",0.945,0.959
mnist_8,"batchnorm,dropout,layernorm",0.945,0.956
mnist_8,"batchnorm,dropout,dense",0.945,0.955
mnist_8,"batchnorm,whitening,attention",0.945,0.961
mnist_8,"batchnorm,whitening,residual",0.945,0.96
mnist_8,"batchnorm,whitening,layernorm",0.945,0.957
mnist_8,"batchnorm,whitening,dense",0.945,0.956
mnist_8,"batchnorm,attention,residual",0.945,0.965
mnist_8,"batchnorm,attention,layernorm",0.945,0.962
mnist_8,"batchnorm,attention,dense",0.945,0.961
mnist_8,"batchnorm,residual,layernorm",0.945,0.961
mnist_8,"batchnorm,residual,dense",0.945,0.96
mnist_8,"batchnorm,layernorm,dense",0.945,0.957
mnist_8,"dropout,whitening,attention",0.945,0.958
mnist_8,"dropout,whitening,residual",0.945,0.957
mnist_8,"dropout,whitening,layernorm",0.945,0.954
mnist_8,"dropout,whitening,dense",0.945,0.953
mnist_8,"dropout,attention,residual",0.945,0.962
mnist_8,"dropout,attention,layernorm",0.945,0.959
mnist_8,"dropout,attention,dense",0.945,0.958
mnist_8,"dropout,residual,layernorm",0.945,0.958
mnist_8,"dropout,residual,dense",0.945,0.957
mnist_8,"dropout,layernorm,dense",0.945,0.954
mnist_8,"whitening,attention,residual",0.945,0.963
mnist_8,"whitening,attention,layernorm",0.945,0.96
mnist_8,"whitening,attention,dense",0.945,0.959
mnist_8,"whitening,residual,layernorm",0.945,0.959
mnist_8,"whitening,residual,dense",0.945,0.958
mnist_8,"whitening,layernorm,dense",0.945,0.955
mnist_8,"attention,residual,layernorm",0.945,0.964
mnist_8,"attention,residual,dense",0.945,0.963
mnist_8,"attention,layernorm,dense",0.945,0.96
mnist_8,"residual,layernorm,dense",0.945,0.959
mnist_8,"batchnorm,dropout,whitening,attention",0.945,0.963
mnist_8,"batchnorm,dropout,whitening,residual",0.945,0.962
mnist_8,"batchnorm,dropout,whitening,layernorm",0.945,0.959
mnist_8,"batchnorm,dropout,whitening,dense",0.945,0.958
mnist_8,"batchnorm,dropout,attention,residual",0.945,0.967
mnist_8,"batchnorm,dropout,attention,layernorm",0.945,0.964
mnist_8,"batchnorm,dropout,attention,dense",0.945,0.963
mnist_8,"batchnorm,dropout,residual,layernorm",0.945,0.963
mnist_8,"batchnorm,dropout,residual,dense",0.945,0.962
mnist_8,"batchnorm,dropout,layernorm,dense",0.945,0.959
mnist_8,"batchnorm,whitening,attention,residual",0.945,0.968
mnist_8,"batchnorm,whitening,attention,layernorm",0.945,0.965
mnist_8,"batchnorm,whitening,attention,dense",0.945,0.964
mnist_8,"batchnorm,whitening,residual,layernorm",0.945,0.964
mnist_8,"batchnorm,whitening,residual,dense",0.945,0.963
mnist_8,"batchnorm,whitening,layernorm,dense",0.945,0.96
mnist_8,"batchnorm,attention,residual,layernorm",0.945,0.969
mnist_8,"batchnorm,attention,residual,dense",0.945,0.968
mnist_8,"batchnorm,attention,layernorm,dense",0.945,0.965
mnist_8,"batchnorm,residual,layernorm,dense",0.945,0.964
mnist_8,"dropout,whitening,attention,residual",0.945,0.965
mnist_8,"dropout,whitening,attention,layernorm",0.945,0.962
mnist_8,"dropout,whitening,attention,dense",0.945,0.961
mnist_8,"dropout,whitening,residual,layernorm",0.945,0.961
mnist_8,"dropout,whitening,residual,dense",0.945,0.96
mnist_8,"dropout,whitening,layernorm,dense",0.945,0.957
mnist_8,"dropout,attention,residual,layernorm",0.945,0.966
mnist_8,"dropout,attention,residual,dense",0.945,0.965
mnist_8,"dropout,attention,layernorm,dense",0.945,0.962
mnist_8,"dropout,residual,layernorm,dense",0.945,0.961
mnist_8,"whitening,attention,residual,layernorm",0.945,0.967
mnist_8,"whitening,attention,residual,dense",0.945,0.966
mnist_8,"whitening,attention,layernorm,dense",0.945,0.963
mnist_8,"whitening,residual,layernorm,dense",0.945,0.962
mnist_8,"attention,residual,layernorm,dense",0.945,0.967
mnist_8,"batchnorm,dropout,whitening,attention,residual",0.945,0.97
mnist_8,"batchnorm,dropout,whitening,attention,layernorm",0.945,0.967
mnist_8,"batchnorm,dropout,whitening,attention,dense",0.945,0.966
mnist_8,"batchnorm,dropout,whitening,residual,layernorm",0.945,0.966
mnist_8,"batchnorm,dropout,whitening,residual,dense",0.945,0.965
mnist_8,"batchnorm,dropout,whitening,layernorm,dense",0.945,0.962
mnist_8,"batchnorm,dropout,attention,residual,layernorm",0.945,0.971
mnist_8,"batchnorm,dropout,attention,residual,dense",0.945,0.97
mnist_8,"batchnorm,dropout,attention,layernorm,dense",0.945,0.967
mnist_8,"batchnorm,dropout,residual,layernorm,dense",0.945,0.966
mnist_8,"batchnorm,whitening,attention,residual,layernorm",0.945,0.972
mnist_8,"batchnorm,whitening,attention,residual,dense",0.945,0.971
mnist_8,"batchnorm,whitening,attention,layernorm,dense",0.945,0.968
mnist_8,"batchnorm,whitening,residual,layernorm,dense",0.945,0.967
mnist_8,"batchnorm,attention,residual,layernorm,dense",0.945,0.972
mnist_8,"dropout,whitening,attention,residual,layernorm",0.945,0.969
mnist_8,"dropout,whitening,attention,residual,dense",0.945,0.968
mnist_8,"dropout,whitening,attention,layernorm,dense",0.945,0.965
mnist_8,"dropout,whitening,residual,layernorm,dense",0.945,0.964
mnist_8,"dropout,attention,residual,layernorm,dense",0.945,0.969
mnist_8,"whitening,attention,residual,layernorm,dense",0.945,0.97
mnist_8,"batchnorm,dropout,whitening,attention,residual,layernorm",0.945,0.974
mnist_8,"batchnorm,dropout,whitening,attention,residual,dense",0.945,0.973
mnist_8,"batchnorm,dropout,whitening,attention,layernorm,dense",0.945,0.97
mnist_8,"batchnorm,dropout,whitening,residual,layernorm,dense",0.945,0.969
mnist_8,"batchnorm,dropout,attention,residual,layernorm,dense",0.945,0.974
mnist_8,"batchnorm,whitening,attention,residual,layernorm,dense",0.945,0.975
mnist_8,"dropout,whitening,attention,residual,layernorm,dense",0.945,0.972
mnist_8,"batchnorm,dropout,whitening,attention,residual,layernorm,dense",0.945,0.977
mnist_9,none,0.963,0.963
mnist_9,batchnorm,0.963,0.968
mnist_9,dropout,0.963,0.965
mnist_9,whitening,0.963,0.966
mnist_9,attention,0.963,0.971
mnist_9,residual,0.963,0.97
mnist_9,layernorm,0.963,0.967
mnist_9,dense,0.963,0.966
mnist_9,"batchnorm,dropout",0.963,0.97
mnist_9,"batchnorm,whitening",0.963,0.971
mnist_9,"batchnorm,attention",0.963,0.976
mnist_9,"batchnorm,residual",0.963,0.975
mnist_9,"batchnorm,layernorm",0.963,0.972
mnist_9,"batchnorm,dense",0.963,0.971
mnist_9,"dropout,whitening",0.963,0.968
mnist_9,"dropout,attention",0.963,0.973
mnist_9,"dropout,residual",0.963,0.972
mnist_9,"dropout,layernorm",0.963,0.969
mnist_9,"dropout,dense",0.963,0.968
mnist_9,"whitening,attention",0.963,0.974
mnist_9,"whitening,residual",0.963,0.973
mnist_9,"whitening,layernorm",0.963,0.97
mnist_9,"whitening,dense",0.963,0.969
mnist_9,"attention,residual",0.963,0.978
mnist_9,"attention,layernorm",0.963,0.975
mnist_9,"attention,dense",0.963,0.974
mnist_9,"residual,layernorm",0.963,0.974
mnist_9,"residual,dense",0.963,0.973
mnist_9,"layernorm,dense",0.963,0.97
mnist_9,"batchnorm,dropout,whitening",0.963,0.973
mnist_9,"batchnorm,dropout,attention",0.963,0.978
mnist_9,"batchnorm,dropout,residual",0.963,0.977
mnist_9,"batchnorm,dropout,layernorm",0.963,0.974
mnist_9,"batchnorm,dropout,dense",0.963,0.973
mnist_9,"batchnorm,whitening,attention",0.963,0.979
mnist_9,"batchnorm,whitening,residual",0.963,0.978
mnist_9,"batchnorm,whitening,layernorm",0.963,0.975
mnist_9,"batchnorm,whitening,dense",0.963,0.974
mnist_9,"batchnorm,attention,residual",0.963,0.983
mnist_9,"batchnorm,attention,layernorm",0.963,0.98
mnist_9,"batchnorm,attention,dense",0.963,0.979
mnist_9,"batchnorm,residual,layernorm",0.963,0.979
mnist_9,"batchnorm,residual,dense",0.963,0.978
mnist_9,"batchnorm,layernorm,dense",0.963,0.975
mnist_9,"dropout,whitening,attention",0.963,0.976
mnist_9,"dropout,whitening,residual",0.963,0.975
mnist_9,"dropout,whitening,layernorm",0.963,0.972
mnist_9,"dropout,whitening,dense",0.963,0.971
mnist_9,"dropout,attention,residual",0.963,0.98
mnist_9,"dropout,attention,layernorm",0.963,0.977
mnist_9,"dropout,attention,dense",0.963,0.976
mnist_9,"dropout,residual,layernorm",0.963,0.976
mnist_9,"dropout,residual,dense",0.963,0.975
mnist_9,"dropout,layernorm,dense",0.963,0.972
mnist_9,"whitening,attention,residual",0.963,0.981
mnist_9,"whitening,attention,layernorm",0.963,0.978
mnist_9,"whitening,attention,dense",0.963,0.977
mnist_9,"whitening,residual,layernorm",0.963,0.977
mnist_9,"whitening,residual,dense",0.963,0.976
mnist_9,"whitening,layernorm,dense",0.963,0.973
mnist_9,"attention,residual,layernorm",0.963,0.982
mnist_9,"attention,residual,dense",0.963,0.981
mnist_9,"attention,layernorm,dense",0.963,0.978
mnist_9,"residual,layernorm,dense",0.963,0.977
mnist_9,"batchnorm,dropout,whitening,attention",0.963,0.981
mnist_9,"batchnorm,dropout,whitening,residual",0.963,0.98
mnist_9,"batchnorm,dropout,whitening,layernorm",0.963,0.977
mnist_9,"batchnorm,dropout,whitening,dense",0.963,0.976
mnist_9,"batchnorm,dropout,attention,residual",0.963,0.985
mnist_9,"batchnorm,dropout,attention,layernorm",0.963,0.982
mnist_9,"batchnorm,dropout,attention,dense",0.963,0.981
mnist_9,"batchnorm,dropout,residual,layernorm",0.963,0.981
mnist_9,"batchnorm,dropout,residual,dense",0.963,0.98
mnist_9,"batchnorm,dropout,layernorm,dense",0.963,0.977
mnist_9,"batchnorm,whitening,attention,residual",0.963,0.986
mnist_9,"batchnorm,whitening,attention,layernorm",0.963,0.983
mnist_9,"batchnorm,whitening,attention,dense",0.963,0.982
mnist_9,"batchnorm,whitening,residual,layernorm",0.963,0.982
mnist_9,"batchnorm,whitening,residual,dense",0.963,0.981
mnist_9,"batchnorm,whitening,layernorm,dense",0.963,0.978
mnist_9,"batchnorm,attention,residual,layernorm",0.963,0.987
mnist_9,"batchnorm,attention,residual,dense",0.963,0.986
mnist_9,"batchnorm,attention,layernorm,dense",0.963,0.983
mnist_9,"batchnorm,residual,layernorm,dense",0.963,0.982
mnist_9,"dropout,whitening,attention,residual",0.963,0.983
mnist_9,"dropout,whitening,attention,layernorm",0.963,0.98
mnist_9,"dropout,whitening,attention,dense",0.963,0.979
mnist_9,"dropout,whitening,residual,layernorm",0.963,0.979
mnist_9,"dropout,whitening,residual,dense",0.963,0.978
mnist_9,"dropout,whitening,layernorm,dense",0.963,0.975
mnist_9,"dropout,attention,residual,layernorm",0.963,0.984
mnist_9,"dropout,attention,residual,dense",0.963,0.983
mnist_9,"dropout,attention,layernorm,dense",0.963,0.98
mnist_9,"dropout,residual,layernorm,dense",0.963,0.979
mnist_9,"whitening,attention,residual,layernorm",0.963,0.985
mnist_9,"whitening,attention,residual,dense",0.963,0.984
mnist_9,"whitening,attention,layernorm,dense",0.963,0.981
mnist_9,"whitening,residual,layernorm,dense",0.963,0.98
mnist_9,"attention,residual,layernorm,dense",0.963,0.985
mnist_9,"batchnorm,dropout,whitening,attention,residual",0.963,0.988
mnist_9,"batchnorm,dropout,whitening,attention,layernorm",0.963,0.985
mnist_9,"batchnorm,dropout,whitening,attention,dense",0.963,0.984
mnist_9,"batchnorm,dropout,whitening,residual,layernorm",0.963,0.984
mnist_9,"batchnorm,dropout,whitening,residual,dense",0.963,0.983
mnist_9,"batchnorm,dropout,whitening,layernorm,dense",0.963,0.98
mnist_9,"batchnorm,dropout,attention,residual,layernorm",0.963,0.989
mnist_9,"batchnorm,dropout,attention,residual,dense",0.963,0.988
mnist_9,"batchnorm,dropout,attention,layernorm,dense",0.963,0.985
mnist_9,"batchnorm,dropout,residual,layernorm,dense",0.963,0.984
mnist_9,"batchnorm,whitening,attention,residual,layernorm",0.963,0.99
mnist_9,"batchnorm,whitening,attention,residual,dense",0.963,0.989
mnist_9,"batchnorm,whitening,attention,layernorm,dense",0.963,0.986
mnist_9,"batchnorm,whitening,residual,layernorm,dense",0.963,0.985
mnist_9,"batchnorm,attention,residual,layernorm,dense",0.963,0.99
mnist_9,"dropout,whitening,attention,residual,layernorm",0.963,0.987
mnist_9,"dropout,whitening,attention,residual,dense",0.963,0.986
mnist_9,"dropout,whitening,attention,layernorm,dense",0.963,0.983
mnist_9,"dropout,whitening,residual,layernorm,dense",0.963,0.982
mnist_9,"dropout,attention,residual,layernorm,dense",0.963,0.987
mnist_9,"whitening,attention,residual,layernorm,dense",0.963,0.988
mnist_9,"batchnorm,dropout,whitening,attention,residual,layernorm",0.963,0.992
mnist_9,"batchnorm,dropout,whitening,attention,residual,dense",0.963,0.991
mnist_9,"batchnorm,dropout,whitening,attention,layernorm,dense",0.963,0.988
mnist_9,"batchnorm,dropout,whitening,residual,layernorm,dense",0.963,0.987
mnist_9,"batchnorm,dropout,attention,residual,layernorm,dense",0.963,0.992
mnist_9,"batchnorm,whitening,attention,residual,layernorm,dense",0.963,0.993
mnist_9,"dropout,whitening,attention,residual,layernorm,dense",0.963,0.99
mnist_9,"batchnorm,dropout,whitening,attention,residual,layernorm,dense",0.963,0.995
cifar,none,0.859,0.859
cifar,batchnorm,0.859,0.864
cifar,dropout,0.859,0.861
cifar,whitening,0.859,0.862
cifar,attention,0.859,0.867
cifar,residual,0.859,0.866
cifar,layernorm,0.859,0.863
cifar,dense,0.859,0.862
cifar,"batchnorm,dropout",0.859,0.866
cifar,"batchnorm,whitening",0.859,0.867
cifar,"batchnorm,attention",0.859,0.872
cifar,"batchnorm,residual",0.859,0.871
cifar,"batchnorm,layernorm",0.859,0.868
cifar,"batchnorm,dense",0.859,0.867
cifar,"dropout,whitening",0.859,0.864
cifar,"dropout,attention",0.859,0.869
cifar,"dropout,residual",0.859,0.868
cifar,"dropout,layernorm",0.859,0.865
cifar,"dropout,dense",0.859,0.864
cifar,"whitening,attention",0.859,0.87
cifar,"whitening,residual",0.859,0.869
cifar,"whitening,layernorm",0.859,0.866
cifar,"whitening,dense",0.859,0.865
cifar,"attention,residual",0.859,0.874
cifar,"attention,layernorm",0.859,0.871
cifar,"attention,dense",0.859,0.87
cifar,"residual,layernorm",0.859,0.87
cifar,"residual,dense",0.859,0.869
cifar,"layernorm,dense",0.859,0.866
cifar,"batchnorm,dropout,whitening",0.859,0.869
cifar,"batchnorm,dropout,attention",0.859,0.874
cifar,"batchnorm,dropout,residual",0.859,0.873
cifar,"batchnorm,dropout,layernorm",0.859,0.87
cifar,"batchnorm,dropout,dense",0.859,0.869
cifar,"batchnorm,whitening,attention",0.859,0.875
cifar,"batchnorm,whitening,residual",0.859,0.874
cifar,"batchnorm,whitening,layernorm",0.859,0.871
cifar,"batchnorm,whitening,dense",0.859,0.87
cifar,"batchnorm,attention,residual",0.859,0.879
cifar,"batchnorm,attention,layernorm",0.859,0.876
cifar,"batchnorm,attention,dense",0.859,0.875
cifar,"batchnorm,residual,layernorm",0.859,0.875
cifar,"batchnorm,residual,dense",0.859,0.874
cifar,"batchnorm,layernorm,dense",0.859,0.871
cifar,"dropout,whitening,attention",0.859,0.872
cifar,"dropout,whitening,residual",0.859,0.871
cifar,"dropout,whitening,layernorm",0.859,0.868
cifar,"dropout,whitening,dense",0.859,0.867
cifar,"dropout,attention,residual",0.859,0.876
cifar,"dropout,attention,layernorm",0.859,0.873
cifar,"dropout,attention,dense",0.859,0.872
cifar,"dropout,residual,layernorm",0.859,0.872
cifar,"dropout,residual,dense",0.859,0.871
cifar,"dropout,layernorm,dense",0.859,0.868
cifar,"whitening,attention,residual",0.859,0.877
cifar,"whitening,attention,layernorm",0.859,0.874
cifar,"whitening,attention,dense",0.859,0.873
cifar,"whitening,residual,layernorm",0.859,0.873
cifar,"whitening,residual,dense",0.859,0.872
cifar,"whitening,layernorm,dense",0.859,0.869
cifar,"attention,residual,layernorm",0.859,0.878
cifar,"attention,residual,dense",0.859,0.877
cifar,"attention,layernorm,dense",0.859,0.874
cifar,"residual,layernorm,dense",0.859,0.873
cifar,"batchnorm,dropout,whitening,attention",0.859,0.877
cifar,"batchnorm,dropout,whitening,residual",0.859,0.876
cifar,"batchnorm,dropout,whitening,layernorm",0.859,0.873
cifar,"batchnorm,dropout,whitening,dense",0.859,0.872
cifar,"batchnorm,dropout,attention,residual",0.859,0.881
cifar,"batchnorm,dropout,attention,layernorm",0.859,0.878
cifar,"batchnorm,dropout,attention,dense",0.859,0.877
cifar,"batchnorm,dropout,residual,layernorm",0.859,0.877
cifar,"batchnorm,dropout,residual,dense",0.859,0.876
cifar,"batchnorm,dropout,layernorm,dense",0.859,0.873
cifar,"batchnorm,whitening,attention,residual",0.859,0.882
cifar,"batchnorm,whitening,attention,layernorm",0.859,0.879
cifar,"batchnorm,whitening,attention,dense",0.859,0.878
cifar,"batchnorm,whitening,residual,layernorm",0.859,0.878
cifar,"batchnorm,whitening,residual,dense",0.859,0.877
cifar,"batchnorm,whitening,layernorm,dense",0.859,0.874
cifar,"batchnorm,attention,residual,layernorm",0.859,0.883
cifar,"batchnorm,attention,residual,dense",0.859,0.882
cifar,"batchnorm,attention,layernorm,dense",0.859,0.879
cifar,"batchnorm,residual,layernorm,dense",0.859,0.878
cifar,"dropout,whitening,attention,residual",0.859,0.879
cifar,"dropout,whitening,attention,layernorm",0.859,0.876
cifar,"dropout,whitening,attention,dense",0.859,0.875
cifar,"dropout,whitening,residual,layernorm",0.859,0.875
cifar,"dropout,whitening,residual,dense",0.859,0.874
cifar,"dropout,whitening,layernorm,dense",0.859,0.871
cifar,"dropout,attention,residual,layernorm",0.859,0.88
cifar,"dropout,attention,residual,dense",0.859,0.879
cifar,"dropout,attention,layernorm,dense",0.859,0.876
cifar,"dropout,residual,layernorm,dense",0.859,0.875
cifar,"whitening,attention,residual,layernorm",0.859,0.881
cifar,"whitening,attention,residual,dense",0.859,0.88
cifar,"whitening,attention,layernorm,dense",0.859,0.877
cifar,"whitening,residual,layernorm,dense",0.859,0.876
cifar,"attention,residual,layernorm,dense",0.859,0.881
cifar,"batchnorm,dropout,whitening,attention,residual",0.859,0.884
cifar,"batchnorm,dropout,whitening,attention,layernorm",0.859,0.881
cifar,"batchnorm,dropout,whitening,attention,dense",0.859,0.88
cifar,"batchnorm,dropout,whitening,residual,layernorm",0.859,0.88
cifar,"batchnorm,dropout,whitening,residual,dense",0.859,0.879
cifar,"batchnorm,dropout,whitening,layernorm,dense",0.859,0.876
cifar,"batchnorm,dropout,attention,residual,layernorm",0.859,0.885
cifar,"batchnorm,dropout,attention,residual,dense",0.859,0.884
cifar,"batchnorm,dropout,attention,layernorm,dense",0.859,0.881
cifar,"batchnorm,dropout,residual,layernorm,dense",0.859,0.88
cifar,"batchnorm,whitening,attention,residual,layernorm",0.859,0.886
cifar,"batchnorm,whitening,attention,residual,dense",0.859,0.885
cifar,"batchnorm,whitening,attention,layernorm,dense",0.859,0.882
cifar,"batchnorm,whitening,residual,layernorm,dense",0.859,0.881
cifar,"batchnorm,attention,residual,layernorm,dense",0.859,0.886
cifar,"dropout,whitening,attention,residual,layernorm",0.859,0.883
cifar,"dropout,whitening,attention,residual,dense",0.859,0.882
cifar,"dropout,whitening,attention,layernorm,dense",0.859,0.879
cifar,"dropout,whitening,residual,layernorm,dense",0.859,0.878
cifar,"dropout,attention,residual,layernorm,dense",0.859,0.883
cifar,"whitening,attention,residual,layernorm,dense",0.859,0.884
cifar,"batchnorm,dropout,whitening,attention,residual,layernorm",0.859,0.888
cifar,"batchnorm,dropout,whitening,attention,residual,dense",0.859,0.887
cifar,"batchnorm,dropout,whitening,attention,layernorm,dense",0.859,0.884
cifar,"batchnorm,dropout,whitening,residual,layernorm,dense",0.859,0.883
cifar,"batchnorm,dropout,attention,residual,layernorm,dense",0.859,0.888
cifar,"batchnorm,whitening,attention,residual,layernorm,dense",0.859,0.889
cifar,"dropout,whitening,attention,residual,layernorm,dense",0.859,0.886
cifar,"batchnorm,dropout,whitening,attention,residual,layernorm,dense",0.859,0.891
